iter	Passed	Remaining
160	1020	11651
161	1026	11644
162	1033	11645
163	1039	11642
164	1046	11641
165	1053	11638
166	1059	11631
167	1065	11621
168	1071	11611
169	1077	11603
170	1084	11599
171	1090	11588
172	1096	11582
173	1102	11573
174	1109	11565
175	1115	11559
176	1121	11551
177	1127	11542
178	1134	11541
179	1140	11533
180	1146	11524
181	1152	11517
182	1159	11508
183	1165	11506
184	1172	11499
185	1178	11495
186	1184	11482
187	1190	11476
188	1197	11470
189	1216	11588
190	1228	11637
191	1244	11717
192	1294	12124
193	1305	12151
194	1311	12140
195	1318	12131
196	1324	12118
197	1330	12112
198	1337	12104
199	1345	12113
200	1352	12108
201	1359	12102
202	1366	12093
203	1373	12092
204	1380	12090
205	1387	12079
206	1393	12072
207	1399	12061
208	1405	12045
209	1411	12031
210	1417	12019
211	1423	12006
212	1429	11995
213	1435	11982
214	1441	11967
215	1447	11952
216	1453	11940
217	1459	11929
218	1465	11922
219	1472	11910
220	1478	11903
221	1484	11887
222	1490	11875
223	1496	11868
224	1503	11859
225	1509	11850
226	1516	11842
227	1522	11831
228	1528	11823
229	1535	11813
230	1541	11802
231	1547	11794
232	1554	11791
233	1561	11784
234	1568	11779
235	1574	11772
236	1581	11764
237	1587	11754
238	1594	11745
239	1600	11737
240	1606	11725
241	1612	11713
242	1618	11701
243	1624	11692
244	1631	11683
245	1637	11673
246	1643	11664
247	1649	11655
248	1655	11642
249	1661	11630
250	1667	11618
251	1673	11605
252	1679	11596
253	1685	11583
254	1690	11569
255	1696	11557
256	1702	11545
257	1708	11534
258	1714	11524
259	1720	11515
260	1727	11507
261	1733	11500
262	1739	11489
263	1745	11478
264	1751	11466
265	1757	11455
266	1763	11445
267	1769	11437
268	1776	11431
269	1783	11424
270	1788	11413
271	1795	11405
272	1801	11394
273	1807	11384
274	1813	11374
275	1820	11368
276	1826	11362
277	1832	11349
278	1839	11343
279	1845	11336
280	1851	11327
281	1858	11320
282	1864	11310
283	1870	11301
284	1877	11295
285	1883	11287
286	1889	11277
287	1895	11267
288	1901	11259
289	1907	11249
290	1914	11240
291	1920	11231
292	1926	11226
293	1933	11217
294	1940	11214
295	1947	11209
296	1953	11202
297	1960	11197
298	1966	11185
299	1973	11181
300	1979	11174
301	1985	11164
302	1992	11161
303	1998	11152
304	2005	11147
305	2012	11142
306	2018	11132
307	2025	11129
308	2032	11122
309	2039	11118
310	2045	11111
311	2052	11105
312	2060	11104
313	2067	11099
314	2073	11093
315	2080	11085
316	2086	11079
317	2094	11077
318	2101	11076
319	2108	11071
320	2115	11067
321	2122	11062
322	2129	11055
323	2136	11054
324	2143	11048
325	2150	11041
326	2157	11037
327	2163	11027
328	2170	11022
329	2176	11015
330	2182	11005
331	2189	10998
332	2195	10991
333	2202	10984
334	2208	10974
335	2215	10971
336	2221	10961
337	2227	10954
338	2234	10946
339	2240	10941
340	2247	10935
341	2254	10928
342	2260	10919
343	2266	10912
344	2273	10905
345	2279	10896
346	2285	10888
347	2291	10879
348	2298	10871
349	2304	10862
350	2309	10852
351	2315	10841
352	2321	10832
353	2328	10825
354	2334	10817
355	2340	10808
356	2346	10800
357	2353	10794
358	2360	10790
359	2367	10784
360	2374	10778
361	2380	10769
362	2386	10762
363	2392	10752
364	2398	10742
365	2403	10732
366	2410	10724
367	2416	10717
368	2422	10709
369	2429	10704
370	2436	10697
371	2442	10689
372	2448	10680
373	2455	10673
374	2460	10664
375	2466	10654
376	2472	10644
377	2478	10635
378	2484	10627
379	2490	10618
380	2497	10611
381	2503	10601
382	2509	10596
383	2516	10589
384	2522	10581
385	2528	10573
386	2535	10566
387	2541	10557
388	2547	10550
389	2554	10543
390	2564	10552
391	2571	10547
392	2578	10541
393	2586	10542
394	2636	10711
395	2649	10733
396	2656	10724
397	2663	10720
398	2669	10711
399	2676	10705
400	2685	10706
401	2693	10705
402	2702	10708
403	2711	10711
404	2718	10707
405	2726	10702
406	2734	10701
407	2741	10698
408	2750	10700
409	2756	10690
410	2764	10689
411	2771	10681
412	2778	10676
413	2784	10668
414	2791	10661
415	2798	10655
416	2804	10647
417	2812	10643
418	2818	10633
419	2823	10623
420	2831	10620
421	2838	10612
422	2845	10609
423	2851	10600
424	2859	10595
425	2865	10588
426	2872	10580
427	2878	10572
428	2886	10568
429	2892	10560
430	2899	10553
431	2905	10546
432	2913	10542
433	2919	10533
434	2927	10531
435	2933	10521
436	2939	10512
437	2947	10510
438	2953	10502
439	2960	10498
440	2967	10489
441	2973	10482
442	2980	10477
443	2988	10471
444	2995	10468
445	3002	10461
446	3009	10456
447	3016	10449
448	3022	10440
449	3029	10436
450	3035	10427
451	3043	10423
452	3049	10415
453	3057	10410
454	3063	10401
455	3069	10394
456	3077	10389
457	3084	10383
458	3091	10379
459	3097	10369
460	3104	10362
461	3111	10359
462	3118	10351
463	3125	10347
464	3132	10339
465	3138	10332
466	3145	10325
467	3152	10318
468	3159	10313
469	3166	10309
470	3177	10316
471	3184	10309
472	3190	10300
473	3196	10292
474	3202	10283
475	3209	10274
476	3215	10265
477	3221	10256
478	3227	10249
479	3233	10240
480	3239	10230
481	3245	10221
482	3251	10212
483	3258	10205
484	3264	10197
485	3270	10188
486	3276	10179
487	3282	10171
488	3289	10163
489	3295	10154
490	3301	10147
491	3307	10137
492	3313	10129
493	3320	10122
494	3327	10117
495	3333	10108
496	3339	10100
497	3346	10093
498	3352	10084
499	3359	10077
500	3365	10069
501	3371	10061
502	3377	10052
503	3384	10045
504	3389	10035
505	3396	10028
506	3403	10022
507	3409	10014
508	3416	10006
509	3422	10000
510	3428	9990
511	3435	9984
512	3443	9980
513	3452	9980
514	3458	9973
515	3465	9967
516	3475	9968
517	3483	9966
518	3491	9962
519	3498	9956
520	3505	9952
521	3512	9945
522	3519	9939
523	3526	9932
524	3532	9923
525	3540	9920
526	3547	9914
527	3554	9909
528	3561	9903
529	3569	9900
530	3575	9892
531	3581	9884
532	3590	9880
533	3596	9872
534	3603	9868
535	3609	9859
536	3618	9856
537	3624	9849
538	3630	9840
539	3637	9835
540	3644	9828
541	3651	9823
542	3657	9813
543	3663	9805
544	3671	9801
545	3678	9795
546	3686	9792
547	3692	9783
548	3700	9779
549	3706	9770
550	3712	9762
551	3719	9755
552	3726	9750
553	3733	9743
554	3739	9735
555	3745	9727
556	3751	9718
557	3757	9710
558	3763	9702
559	3770	9695
560	3777	9688
561	3783	9680
562	3789	9671
563	3795	9663
564	3801	9655
565	3807	9647
566	3813	9638
567	3819	9629
568	3825	9621
569	3832	9613
570	3838	9605
571	3844	9597
572	3850	9589
573	3857	9582
574	3863	9575
575	3870	9568
576	3877	9562
577	3883	9554
578	3890	9547
579	3898	9545
580	3905	9539
581	3913	9535
582	3959	9622
583	3974	9636
584	3981	9629
585	3987	9622
586	3994	9614
587	4000	9606
588	4007	9601
589	4014	9594
590	4020	9585
591	4027	9578
592	4034	9571
593	4040	9564
594	4046	9555
595	4053	9547
596	4059	9540
597	4065	9531
598	4071	9523
599	4079	9518
600	4084	9508
601	4091	9500
602	4097	9493
603	4104	9485
604	4110	9477
605	4116	9469
606	4122	9460
607	4129	9454
608	4135	9446
609	4142	9438
610	4148	9430
611	4154	9422
612	4160	9414
613	4167	9407
614	4173	9399
615	4180	9391
616	4186	9384
617	4193	9378
618	4200	9371
619	4206	9362
620	4213	9356
621	4219	9348
622	4226	9341
623	4232	9333
624	4238	9324
625	4245	9317
626	4251	9309
627	4257	9301
628	4263	9293
629	4270	9285
630	4276	9277
631	4282	9268
632	4288	9261
633	4294	9253
634	4302	9247
635	4309	9241
636	4315	9233
637	4321	9225
638	4328	9218
639	4334	9209
640	4340	9202
641	4346	9194
642	4352	9186
643	4357	9175
644	4363	9166
645	4369	9158
646	4376	9151
647	4382	9143
648	4389	9136
649	4395	9129
650	4402	9121
651	4407	9113
652	4414	9106
653	4420	9098
654	4427	9090
655	4433	9083
656	4440	9076
657	4445	9067
658	4452	9060
659	4458	9052
660	4464	9044
661	4471	9037
662	4477	9029
663	4484	9022
664	4490	9015
665	4496	9007
666	4502	8998
667	4509	8991
668	4515	8984
669	4522	8976
670	4528	8969
671	4535	8962
672	4542	8956
673	4548	8949
674	4555	8942
675	4561	8934
676	4568	8927
677	4574	8920
678	4580	8912
679	4586	8904
680	4592	8895
681	4599	8887
682	4605	8880
683	4611	8872
684	4617	8864
685	4623	8856
686	4629	8847
687	4635	8839
688	4641	8831
689	4647	8824
690	4654	8818
691	4662	8812
692	4669	8805
693	4675	8797
694	4681	8789
695	4687	8782
696	4693	8774
697	4699	8766
698	4705	8758
699	4711	8750
700	4718	8742
701	4724	8735
702	4730	8728
703	4737	8721
704	4743	8713
705	4750	8706
706	4756	8698
707	4762	8690
708	4768	8682
709	4774	8674
710	4780	8667
711	4787	8659
712	4793	8651
713	4799	8644
714	4805	8635
715	4810	8627
716	4816	8619
717	4822	8611
718	4828	8603
719	4835	8596
720	4841	8588
721	4847	8580
722	4854	8574
723	4860	8567
724	4866	8558
725	4873	8551
726	4879	8544
727	4885	8536
728	4892	8529
729	4898	8521
730	4905	8514
731	4910	8506
732	4916	8498
733	4924	8492
734	4930	8486
735	4937	8479
736	4943	8471
737	4950	8465
738	4956	8457
739	4962	8450
740	4968	8442
741	4974	8434
742	4981	8427
743	4987	8420
744	4993	8412
745	5000	8405
746	5006	8397
747	5012	8389
748	5019	8382
749	5025	8375
750	5031	8368
751	5038	8360
752	5043	8352
753	5050	8345
754	5056	8338
755	5062	8330
756	5068	8322
757	5075	8315
758	5081	8309
759	5088	8301
760	5094	8294
761	5101	8288
762	5107	8280
763	5113	8273
764	5120	8265
765	5126	8258
766	5132	8251
767	5138	8243
768	5145	8236
769	5151	8229
770	5158	8222
771	5164	8215
772	5170	8207
773	5176	8199
774	5182	8192
775	5189	8185
776	5195	8178
777	5201	8170
778	5207	8162
779	5214	8155
780	5220	8148
781	5226	8141
782	5233	8134
783	5240	8127
784	5246	8120
785	5252	8112
786	5258	8104
787	5264	8097
788	5270	8089
789	5276	8082
790	5282	8074
791	5290	8068
792	5297	8062
793	5306	8059
794	5312	8052
795	5319	8046
796	5326	8039
797	5371	8090
798	5385	8095
799	5392	8088
800	5399	8082
801	5406	8075
802	5413	8068
803	5419	8061
804	5425	8054
805	5432	8047
806	5438	8039
807	5445	8032
808	5451	8025
809	5457	8018
810	5463	8010
811	5470	8003
812	5477	7997
813	5483	7989
814	5489	7981
815	5495	7974
816	5502	7966
817	5508	7960
818	5515	7953
819	5521	7945
820	5528	7939
821	5535	7932
822	5541	7925
823	5547	7917
824	5554	7910
825	5560	7903
826	5567	7896
827	5573	7889
828	5579	7881
829	5586	7875
830	5593	7868
831	5599	7861
832	5606	7855
833	5613	7848
834	5620	7842
835	5627	7835
836	5634	7829
837	5642	7823
838	5648	7816
839	5655	7810
840	5662	7803
841	5668	7796
842	5675	7790
843	5681	7781
844	5688	7774
845	5694	7767
846	5700	7759
847	5707	7753
848	5713	7745
849	5720	7739
850	5726	7731
851	5733	7725
852	5739	7718
853	5746	7711
854	5752	7703
855	5758	7696
856	5765	7688
857	5771	7681
858	5778	7675
859	5784	7667
860	5790	7660
861	5797	7653
862	5803	7645
863	5810	7639
864	5816	7631
865	5823	7625
866	5829	7618
867	5836	7611
868	5842	7604
869	5849	7597
870	5855	7590
871	5862	7583
872	5869	7576
873	5875	7569
874	5882	7563
875	5889	7556
876	5895	7549
877	5902	7542
878	5908	7535
879	5915	7529
880	5922	7522
881	5929	7515
882	5935	7508
883	5942	7501
884	5948	7494
885	5954	7487
886	5960	7479
887	5967	7472
888	5973	7465
889	5979	7457
890	5985	7450
891	5992	7442
892	5997	7435
893	6003	7427
894	6010	7421
895	6017	7414
896	6023	7406
897	6029	7399
898	6035	7392
899	6041	7384
900	6047	7376
901	6053	7369
902	6060	7362
903	6067	7356
904	6073	7348
905	6079	7341
906	6085	7333
907	6092	7326
908	6098	7319
909	6104	7311
910	6110	7304
911	6116	7297
912	6122	7289
913	6129	7283
914	6135	7275
915	6142	7268
916	6147	7260
917	6154	7253
918	6160	7246
919	6166	7238
920	6172	7231
921	6178	7224
922	6184	7216
923	6190	7209
924	6196	7201
925	6203	7194
926	6209	7187
927	6216	7180
928	6222	7173
929	6229	7166
930	6235	7159
931	6241	7152
932	6248	7145
933	6254	7137
934	6260	7130
935	6266	7123
936	6272	7116
937	6278	7108
938	6284	7101
939	6291	7094
940	6297	7087
941	6303	7079
942	6309	7072
943	6315	7064
944	6321	7057
945	6327	7050
946	6333	7042
947	6340	7035
948	6346	7028
949	6352	7021
950	6359	7014
951	6365	7007
952	6371	6999
953	6377	6992
954	6383	6985
955	6389	6977
956	6396	6971
957	6402	6963
958	6409	6957
959	6415	6949
960	6421	6942
961	6428	6935
962	6434	6928
963	6441	6922
964	6447	6915
965	6454	6908
966	6460	6901
967	6466	6894
968	6472	6886
969	6478	6879
970	6485	6872
971	6491	6865
972	6497	6857
973	6503	6851
974	6510	6843
975	6516	6836
976	6523	6830
977	6529	6823
978	6535	6816
979	6542	6809
980	6549	6802
981	6555	6795
982	6561	6788
983	6568	6781
984	6574	6774
985	6580	6767
986	6588	6761
987	6593	6754
988	6601	6748
989	6608	6742
990	6616	6737
991	6629	6735
992	6675	6769
993	6682	6762
994	6689	6756
995	6694	6748
996	6700	6741
997	6707	6734
998	6714	6727
999	6720	6720
1000	6727	6713
1001	6733	6706
1002	6740	6699
1003	6746	6692
1004	6752	6685
1005	6759	6678
1006	6766	6672
1007	6772	6664
1008	6778	6657
1009	6785	6650
1010	6790	6643
1011	6796	6635
1012	6802	6628
1013	6806	6618
1014	6812	6611
1015	6819	6604
1016	6826	6598
1017	6833	6591
1018	6839	6584
1019	6846	6577
1020	6852	6570
1021	6858	6563
1022	6864	6555
1023	6870	6548
1024	6876	6541
1025	6883	6534
1026	6889	6527
1027	6896	6520
1028	6902	6513
1029	6908	6505
1030	6914	6498
1031	6920	6491
1032	6927	6484
1033	6934	6478
1034	6942	6472
1035	6953	6470
1036	6960	6464
1037	6967	6457
1038	6973	6450
1039	6980	6443
1040	6986	6435
1041	6992	6429
1042	6998	6421
1043	7005	6414
1044	7011	6407
1045	7018	6401
1046	7024	6393
1047	7031	6386
1048	7036	6379
1049	7042	6372
1050	7049	6365
1051	7055	6358
1052	7061	6350
1053	7067	6343
1054	7074	6336
1055	7080	6329
1056	7086	6322
1057	7092	6314
1058	7098	6307
1059	7104	6300
1060	7110	6292
1061	7116	6285
1062	7123	6279
1063	7129	6271
1064	7136	6265
1065	7142	6258
1066	7148	6251
1067	7155	6244
1068	7162	6237
1069	7168	6230
1070	7174	6223
1071	7180	6216
1072	7186	6208
1073	7192	6201
1074	7198	6194
1075	7205	6187
1076	7212	6181
1077	7218	6173
1078	7224	6166
1079	7231	6159
1080	7237	6153
1081	7244	6146
1082	7250	6138
1083	7256	6131
1084	7262	6124
1085	7268	6117
1086	7274	6110
1087	7281	6103
1088	7287	6096
1089	7293	6089
1090	7300	6082
1091	7307	6076
1092	7314	6069
1093	7320	6062
1094	7326	6055
1095	7333	6048
1096	7339	6041
1097	7345	6034
1098	7351	6027
1099	7357	6020
1100	7364	6013
1101	7370	6006
1102	7377	5999
1103	7383	5992
1104	7389	5985
1105	7396	5978
1106	7402	5971
1107	7409	5964
1108	7415	5957
1109	7422	5951
1110	7429	5944
1111	7435	5938
1112	7442	5931
1113	7448	5924
1114	7455	5917
1115	7461	5910
1116	7467	5903
1117	7474	5896
1118	7480	5889
1119	7487	5883
1120	7494	5876
1121	7500	5869
1122	7507	5862
1123	7513	5855
1124	7519	5848
1125	7526	5841
1126	7532	5835
1127	7539	5828
1128	7545	5821
1129	7551	5813
1130	7555	5804
1131	7561	5798
1132	7567	5790
1133	7573	5783
1134	7579	5776
1135	7586	5770
1136	7593	5763
1137	7599	5756
1138	7606	5750
1139	7612	5743
1140	7619	5736
1141	7625	5729
1142	7631	5722
1143	7637	5714
1144	7643	5707
1145	7649	5700
1146	7655	5693
1147	7661	5686
1148	7668	5679
1149	7676	5673
1150	7683	5667
1151	7691	5661
1152	7699	5655
1153	7706	5649
1154	7713	5642
1155	7719	5636
1156	7726	5629
1157	7734	5623
1158	7741	5617
1159	7747	5610
1160	7754	5603
1161	7759	5596
1162	7766	5589
1163	7772	5582
1164	7779	5575
1165	7786	5569
1166	7792	5562
1167	7798	5554
1168	7805	5548
1169	7811	5541
1170	7817	5534
1171	7824	5527
1172	7830	5520
1173	7837	5514
1174	7843	5506
1175	7849	5499
1176	7855	5492
1177	7861	5485
1178	7868	5479
1179	7874	5471
1180	7880	5465
1181	7887	5458
1182	7892	5450
1183	7899	5443
1184	7905	5436
1185	7911	5429
1186	7917	5423
1187	7924	5416
1188	7930	5409
1189	7937	5402
1190	7946	5397
1191	7952	5390
1192	7963	5387
1193	8006	5405
1194	8020	5403
1195	8028	5397
1196	8035	5390
1197	8042	5384
1198	8048	5376
1199	8055	5370
1200	8062	5363
1201	8068	5356
1202	8075	5350
1203	8081	5343
1204	8088	5336
1205	8094	5329
1206	8101	5322
1207	8107	5315
1208	8113	5308
1209	8119	5301
1210	8126	5294
1211	8132	5287
1212	8138	5280
1213	8144	5273
1214	8151	5266
1215	8157	5259
1216	8164	5252
1217	8170	5245
1218	8176	5238
1219	8183	5232
1220	8189	5224
1221	8195	5218
1222	8201	5210
1223	8208	5204
1224	8214	5197
1225	8221	5190
1226	8228	5183
1227	8234	5177
1228	8241	5170
1229	8247	5163
1230	8254	5156
1231	8260	5149
1232	8267	5143
1233	8275	5136
1234	8282	5130
1235	8288	5123
1236	8295	5116
1237	8301	5109
1238	8307	5102
1239	8314	5095
1240	8321	5089
1241	8327	5082
1242	8333	5075
1243	8340	5068
1244	8346	5061
1245	8353	5054
1246	8359	5048
1247	8366	5041
1248	8372	5034
1249	8378	5027
1250	8385	5020
1251	8391	5013
1252	8397	5006
1253	8404	4999
1254	8409	4992
1255	8416	4985
1256	8422	4978
1257	8428	4971
1258	8434	4964
1259	8440	4957
1260	8447	4950
1261	8453	4943
1262	8460	4936
1263	8466	4929
1264	8472	4922
1265	8479	4915
1266	8485	4908
1267	8491	4902
1268	8498	4895
1269	8504	4888
1270	8510	4881
1271	8516	4874
1272	8523	4867
1273	8530	4861
1274	8536	4854
1275	8543	4847
1276	8550	4840
1277	8556	4833
1278	8562	4827
1279	8569	4820
1280	8575	4813
1281	8581	4806
1282	8587	4799
1283	8594	4792
1284	8600	4785
1285	8606	4778
1286	8613	4771
1287	8620	4765
1288	8626	4758
1289	8633	4751
1290	8640	4745
1291	8646	4738
1292	8653	4731
1293	8659	4724
1294	8665	4717
1295	8672	4710
1296	8678	4703
1297	8684	4697
1298	8691	4690
1299	8698	4683
1300	8704	4676
1301	8711	4670
1302	8717	4662
1303	8723	4656
1304	8729	4649
1305	8735	4642
1306	8742	4635
1307	8748	4628
1308	8754	4621
1309	8760	4614
1310	8766	4607
1311	8772	4600
1312	8778	4593
1313	8784	4586
1314	8790	4579
1315	8796	4572
1316	8802	4564
1317	8809	4558
1318	8815	4551
1319	8822	4545
1320	8829	4538
1321	8835	4531
1322	8841	4524
1323	8847	4517
1324	8854	4510
1325	8861	4504
1326	8867	4497
1327	8873	4490
1328	8880	4483
1329	8887	4477
1330	8893	4470
1331	8899	4463
1332	8906	4456
1333	8912	4449
1334	8918	4442
1335	8925	4435
1336	8931	4429
1337	8938	4422
1338	8945	4415
1339	8951	4408
1340	8957	4401
1341	8963	4394
1342	8969	4387
1343	8975	4381
1344	8981	4374
1345	8987	4367
1346	8993	4359
1347	9000	4353
1348	9006	4346
1349	9012	4339
1350	9018	4332
1351	9025	4325
1352	9031	4318
1353	9038	4312
1354	9044	4305
1355	9051	4298
1356	9057	4291
1357	9064	4285
1358	9070	4278
1359	9077	4271
1360	9083	4264
1361	9087	4256
1362	9093	4249
1363	9099	4242
1364	9105	4235
1365	9111	4229
1366	9117	4221
1367	9123	4215
1368	9130	4208
1369	9136	4201
1370	9143	4194
1371	9149	4187
1372	9155	4180
1373	9161	4174
1374	9167	4167
1375	9174	4160
1376	9180	4153
1377	9186	4146
1378	9193	4139
1379	9199	4132
1380	9205	4126
1381	9211	4119
1382	9218	4112
1383	9223	4105
1384	9230	4098
1385	9236	4091
1386	9242	4084
1387	9249	4078
1388	9255	4071
1389	9261	4064
1390	9268	4057
1391	9275	4051
1392	9283	4045
1393	9289	4038
1394	9296	4031
1395	9302	4024
1396	9308	4017
1397	9314	4010
1398	9320	4004
1399	9327	3997
1400	9334	3990
1401	9340	3983
1402	9346	3977
1403	9352	3970
1404	9359	3963
1405	9365	3956
1406	9371	3949
1407	9378	3943
1408	9384	3936
1409	9390	3929
1410	9396	3922
1411	9402	3915
1412	9409	3908
1413	9415	3901
1414	9421	3895
1415	9427	3888
1416	9469	3896
1417	9482	3891
1418	9490	3885
1419	9497	3879
1420	9503	3872
1421	9509	3865
1422	9516	3858
1423	9522	3851
1424	9528	3844
1425	9535	3838
1426	9542	3831
1427	9550	3825
1428	9557	3818
1429	9564	3812
1430	9570	3805
1431	9576	3798
1432	9583	3791
1433	9589	3785
1434	9596	3778
1435	9601	3771
1436	9608	3764
1437	9614	3757
1438	9620	3750
1439	9626	3743
1440	9633	3737
1441	9639	3730
1442	9646	3723
1443	9652	3716
1444	9659	3709
1445	9665	3703
1446	9672	3696
1447	9678	3689
1448	9684	3682
1449	9691	3675
1450	9697	3669
1451	9703	3662
1452	9709	3655
1453	9715	3648
1454	9722	3641
1455	9728	3634
1456	9734	3627
1457	9741	3621
1458	9747	3614
1459	9754	3607
1460	9760	3600
1461	9766	3594
1462	9772	3587
1463	9779	3580
1464	9785	3573
1465	9791	3566
1466	9798	3559
1467	9804	3553
1468	9810	3546
1469	9816	3539
1470	9823	3532
1471	9830	3526
1472	9836	3519
1473	9842	3512
1474	9848	3505
1475	9855	3498
1476	9861	3492
1477	9868	3485
1478	9875	3478
1479	9881	3471
1480	9888	3465
1481	9894	3458
1482	9901	3451
1483	9907	3444
1484	9913	3437
1485	9918	3430
1486	9925	3424
1487	9932	3417
1488	9938	3410
1489	9944	3403
1490	9951	3397
1491	9957	3390
1492	9964	3383
1493	9970	3376
1494	9976	3369
1495	9982	3363
1496	9989	3356
1497	9995	3349
1498	10001	3342
1499	10007	3335
1500	10012	3328
1501	10019	3322
1502	10026	3315
1503	10032	3308
1504	10039	3301
1505	10045	3295
1506	10052	3288
1507	10058	3281
1508	10065	3275
1509	10071	3268
1510	10077	3261
1511	10083	3254
1512	10089	3247
1513	10095	3240
1514	10102	3233
1515	10108	3227
1516	10114	3220
1517	10121	3213
1518	10127	3207
1519	10134	3200
1520	10140	3193
1521	10146	3186
1522	10153	3179
1523	10160	3173
1524	10166	3166
1525	10172	3159
1526	10179	3153
1527	10186	3146
1528	10192	3139
1529	10199	3133
1530	10205	3126
1531	10212	3119
1532	10218	3112
1533	10225	3106
1534	10231	3099
1535	10238	3092
1536	10244	3086
1537	10250	3079
1538	10256	3072
1539	10263	3065
1540	10269	3058
1541	10276	3052
1542	10282	3045
1543	10288	3038
1544	10294	3031
1545	10300	3024
1546	10307	3018
1547	10313	3011
1548	10320	3004
1549	10327	2998
1550	10333	2991
1551	10339	2984
1552	10345	2977
1553	10352	2971
1554	10358	2964
1555	10364	2957
1556	10371	2950
1557	10377	2944
1558	10383	2937
1559	10389	2930
1560	10396	2923
1561	10402	2916
1562	10408	2910
1563	10415	2903
1564	10422	2896
1565	10428	2890
1566	10434	2883
1567	10441	2876
1568	10447	2869
1569	10453	2863
1570	10460	2856
1571	10466	2849
1572	10473	2843
1573	10480	2836
1574	10486	2829
1575	10492	2822
1576	10499	2816
1577	10505	2809
1578	10512	2802
1579	10519	2796
1580	10525	2789
1581	10532	2782
1582	10539	2776
1583	10547	2769
1584	10555	2763
1585	10561	2756
1586	10568	2750
1587	10574	2743
1588	10580	2736
1589	10587	2730
1590	10593	2723
1591	10599	2716
1592	10605	2709
1593	10611	2702
1594	10618	2696
1595	10624	2689
1596	10630	2682
1597	10671	2684
1598	10684	2679
1599	10692	2673
1600	10699	2666
1601	10705	2659
1602	10711	2652
1603	10717	2646
1604	10724	2639
1605	10730	2632
1606	10738	2626
1607	10743	2619
1608	10750	2612
1609	10756	2605
1610	10762	2598
1611	10768	2591
1612	10774	2585
1613	10780	2578
1614	10787	2571
1615	10793	2564
1616	10800	2558
1617	10806	2551
1618	10812	2544
1619	10819	2537
1620	10824	2530
1621	10831	2524
1622	10838	2517
1623	10845	2510
1624	10851	2504
1625	10857	2497
1626	10863	2490
1627	10869	2483
1628	10875	2476
1629	10882	2470
1630	10888	2463
1631	10895	2456
1632	10902	2450
1633	10909	2443
1634	10916	2437
1635	10923	2430
1636	10930	2423
1637	10937	2417
1638	10944	2410
1639	10950	2403
1640	10957	2397
1641	10963	2390
1642	10969	2383
1643	10976	2376
1644	10982	2370
1645	10989	2363
1646	10995	2356
1647	11001	2349
1648	11006	2342
1649	11013	2336
1650	11019	2329
1651	11025	2322
1652	11032	2315
1653	11038	2309
1654	11045	2302
1655	11051	2295
1656	11058	2289
1657	11064	2282
1658	11070	2275
1659	11076	2268
1660	11082	2261
1661	11089	2255
1662	11095	2248
1663	11101	2241
1664	11108	2234
1665	11113	2228
1666	11120	2221
1667	11126	2214
1668	11133	2207
1669	11139	2201
1670	11145	2194
1671	11151	2187
1672	11156	2180
1673	11163	2174
1674	11166	2166
1675	11173	2160
1676	11180	2153
1677	11186	2146
1678	11193	2139
1679	11199	2133
1680	11206	2126
